stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.8.b,,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.8.d,,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.8.e,,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.6,,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.5.b,GBR+INT,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.12,INT,,ok
*2A-14,"United Kingdom waters of 2a and 4a; 6, 7a-c, 7e-k, 8a, 8b, 8d and 8e; United Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.14,INT,,ok
MED2_TR4_AA,(no description - inferred from code),NONE,,,MED2_TR4_AA,Mediterranean effort regime code - not an area
2A3A4-,"IIa) (1), IIIa); IV (1)",FAO,27.2.a,,,ok
2A3A4-,"IIa) (1), IIIa); IV (1)",FAO,27.3.a,,,ok
2A3A4-,"IIa) (1), IIIa); IV (1)",FAO,27.1,,,ok
2A3A4-,"IIa) (1), IIIa); IV (1)",FAO,27.4,,,ok
03D-R.,Russian Federation waters,EEZ,RUS,RUS,,ok
06A.,Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division VIa),FAO,27.6.a,,,ok
*4N-S62,Norwegian waters south of 62° N,EEZ,NOR,NOR,south of 62° N,ok
4A-CFS,IVa) (1),FAO,27.4.a,,,ok
4A-CFS,IVa) (1),FAO,27.1,,,ok
4N-S62,Norwegian waters south of 62° N,EEZ,NOR,NOR,south of 62° N,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.5.b,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.2,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.1,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.6,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.7,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.8,,,ok
2CX12-,"II(2), Vb)(1), VI, VII; VIIII(1), XII",FAO,27.12,,,ok
GF19-21,GSA 19-20-21,GSA,GSA19,,,ok
GF19-21,GSA 19-20-21,GSA,GSA20,,,ok
GF19-21,GSA 19-20-21,GSA,GSA21,,,ok
ATLANT-DEAD,Atlantic Ocean (dead and not commercialised landings),FAO,ATL,,,check
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.8.a,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.8.b,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.8.d,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.8.e,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.5.b,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.1,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.6,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.7,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.12,,,ok
57/8FS,"Vb)(1),VI,VII,XII,XIV / VIIIa),b),d),e) Spain & France only",FAO,27.14,,,ok
ICAN05NXM_AMS,"ICCAT Convention area, north of 5°N, excluding Mediterranean (shared quota)",RFMO,ICCAT,,north of 5°N,ok
*24X7C,"Union waters of 4, 6 and 7",FAO,27.4,EU,,ok
*24X7C,"Union waters of 4, 6 and 7",FAO,27.6,EU,,ok
*24X7C,"Union waters of 4, 6 and 7",FAO,27.7,EU,,ok
MED1_TR3,(no description - inferred from code),NONE,,,MED1_TR3,Mediterranean effort regime code - not an area
N3O.,NAFO 3O,FAO,21.3.O,NAFO,,ok
N3NO.,NAFO 3NO,FAO,21.3.N,NAFO,,ok
N3NO.,NAFO 3NO,FAO,21.3.O,NAFO,,ok
02-N.,"Norway zone ( North of 62° N ): IIa), b)",FAO,27.2.a,NOR,North of 62° N,ok
02-N.,"Norway zone ( North of 62° N ): IIa), b)",FAO,27.2.b,NOR,North of 62° N,ok
GRL3,"Greenland waters of NAFO 1F and ICES XIV: the part that is to the south of 59° 00′ N and to the east of 42° 00′ W, and the part of the Greenlandic fisheries territory that is between 59° 00′ N and 62° 30′ N to the east of 44° 00′ W.",FAO,21.1.F,GRL,south of 59° 00′ N | east of 42° 00′ W | east of 44° 00′ W | between 59° 00′ N and 62° 30′ N to the east of 44° 00′ W.,ok
GRL3,"Greenland waters of NAFO 1F and ICES XIV: the part that is to the south of 59° 00′ N and to the east of 42° 00′ W, and the part of the Greenlandic fisheries territory that is between 59° 00′ N and 62° 30′ N to the east of 44° 00′ W.",FAO,27.14,GRL,south of 59° 00′ N | east of 42° 00′ W | east of 44° 00′ W | between 59° 00′ N and 62° 30′ N to the east of 44° 00′ W.,ok
*4N-2A,"IV Norvegian waters, II a (2)",FAO,27.2.a,,,ok
*4N-2A,"IV Norvegian waters, II a (2)",FAO,27.4,,,ok
*4N-2A,"IV Norvegian waters, II a (2)",FAO,27.2,,,ok
46AN-,"IV, VIa) North 56°30' North, VIIe),f),h)",FAO,27.7.e,,,ok
46AN-,"IV, VIa) North 56°30' North, VIIe),f),h)",FAO,27.7.f,,,ok
46AN-,"IV, VIa) North 56°30' North, VIIe),f),h)",FAO,27.7.h,,,ok
46AN-,"IV, VIa) North 56°30' North, VIIe),f),h)",FAO,27.6.a,,,ok
46AN-,"IV, VIa) North 56°30' North, VIIe),f),h)",FAO,27.4,,,ok
MED2_TR2,(no description - inferred from code),NONE,,,MED2_TR2,Mediterranean effort regime code - not an area
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,27.7,,,ok
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,27.8,,,ok
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,27.9,,,ok
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,27.10,,,ok
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,34.1.1,,,ok
7X1034,"VII, VIII, IX, X; COPACE 34.1.1(1)",FAO,27.1,,,ok
2AC4AB,"IIa) (1), IVa),b)",FAO,27.4.a,,,ok
2AC4AB,"IIa) (1), IVa),b)",FAO,27.4.b,,,ok
2AC4AB,"IIa) (1), IVa),b)",FAO,27.2.a,,,ok
2AC4AB,"IIa) (1), IVa),b)",FAO,27.1,,,ok
*2A6-C,Union waters of 2a and 6,FAO,27.2.a,EU,,ok
*2A6-C,Union waters of 2a and 6,FAO,27.6,EU,,ok
MED2_LL3,(no description - inferred from code),NONE,,,MED2_LL3,Mediterranean effort regime code - not an area
6AN67-,"VIa) (Nth 56°30'N), VIb), VIIc), VIIk) (West 12°W)",FAO,27.6.a,,,ok
6AN67-,"VIa) (Nth 56°30'N), VIb), VIIc), VIIk) (West 12°W)",FAO,27.6.b,,,ok
6AN67-,"VIa) (Nth 56°30'N), VIb), VIIc), VIIk) (West 12°W)",FAO,27.7.c,,,ok
6AN67-,"VIa) (Nth 56°30'N), VIb), VIIc), VIIk) (West 12°W)",FAO,27.7.k,,,ok
*5X14.,EC and international waters of V; international waters of XII and XIV,FAO,27.5,INT,,ok
*5X14.,EC and international waters of V; international waters of XII and XIV,FAO,27.12,INT,,ok
*5X14.,EC and international waters of V; international waters of XII and XIV,FAO,27.14,INT,,ok
COK_2025,Cook Islands 2025,EEZ,COK,COK,,ok
*NZJM1,Norwegian Economic Zone and the fishery zone around Jan Mayen,EEZ,NOR,NOR,incl. Jan Mayen zone,ok
234_4,United Kingdom and Union waters of sandeel management area 4,SANDEEL,SAN4,GBR+EU,,ok
*643,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,37,,east of 45° W,ok
*643,"Atlantic Ocean, east of 45° W, and Mediterranean",FAO,ATL,,east of 45° W,check
4EI.,EC and International Waters of IV.,FAO,27.4,INT,,ok
06-C.,VI (1),FAO,27.6,,,ok
06-C.,VI (1),FAO,27.1,,,ok
*4A.,Norwegian waters of IVa (= IVa limited by parent stock to Norwegian waters),FAO,27.4.a,NOR,,ok
MED2_TR3_AA,(no description - inferred from code),NONE,,,MED2_TR3_AA,Mediterranean effort regime code - not an area
N01S.,"NAFO 0,1-SOUTH 68° NORTH.",FAO,21.0,NAFO,,ok
N01S.,"NAFO 0,1-SOUTH 68° NORTH.",FAO,21.1,NAFO,,ok
51214.,ICES XIV/XII/V(2),FAO,27.2,,,ok
*ICAN05N,"ICCAT Convention area, north of 5°N",RFMO,ICCAT,,north of 5°N,ok
F7120S,WCPFC Convention Area south of 20° S,RFMO,WCPFC,,south of 20° S,ok
IATTC,IATTC Convention Area,RFMO,IATTC,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.d,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.e,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.f,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.h,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.2.a,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.4.a,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.6.a,,,ok
24A7HC,"IIa), IVa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.1,,,ok
234_2R,United Kingdom and Union waters of sandeel management area 2r,SANDEEL,SAN2,GBR+EU,,ok
07.,7,FAO,27.7,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.8.a,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.8.b,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.8.d,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.8.e,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.5.b,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.1,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.6,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.7,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.12,,,ok
8/14FS,"VIIIa),b),d),e) / Vb)(1),VI,VII,XII,XIV Spain & France only",FAO,27.14,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.d,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.e,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.f,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.7.h,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.2.a,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.6.a,,,ok
2A7H-C,"IIa), VIa) North 56°30'N, VIId),e),f),h) (1)",FAO,27.1,,,ok
09-SPN,Spain zone: IX,FAO,27.9,ESP,,ok
*5-14P,International waters of the Redfish Conservation Area (NEAFC box: 64°45'N 28°30'W; 62°50'N 25°45'W; 61°55'N 26°45'W; 61°00N 26°30'W; 59°00'N 30°00'W; 59°00'N 34°00'W; 61°30'N 34°00'W; 62°50'N 36°00'W; 64°45'N 28°30'W),RFMO,NEAFC,,,ok
8X8C.,VIII except VIIIc),FAO,27.8.c,,,ok
8X8C.,VIII except VIIIc),FAO,27.8,,,ok
CECAF3411,(no description - inferred from code),FAO,34.1.1,EU,,ok
*234_3,Sandeel management area 3,SANDEEL,SAN3,,,ok
3A4-C,United Kingdom and Union waters of 4; Union waters of 3a,FAO,27.4,GBR+EU,,ok
