stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
N01514,"Greenland zone: NAFO 0,1, ICES V, XIV",FAO,21.1,GRL,,ok
N01514,"Greenland zone: NAFO 0,1, ICES V, XIV",FAO,27.5,GRL,,ok
N01514,"Greenland zone: NAFO 0,1, ICES V, XIV",FAO,27.14,GRL,,ok
*AN05N-UK,"United Kingdom waters in Atlantic Ocean, North of 5° N",FAO,ATL,GBR,North of 5° N,check
STP_2011,Sao Tome and Principe,EEZ,STP,STP,,ok
834SPN,"VIIIc),IX,X;CECAF3411(1): under sover./juris. of Spain",FAO,27.8.c,,,ok
834SPN,"VIIIc),IX,X;CECAF3411(1): under sover./juris. of Spain",FAO,27.9,,,ok
834SPN,"VIIIc),IX,X;CECAF3411(1): under sover./juris. of Spain",FAO,27.10,,,ok
834SPN,"VIIIc),IX,X;CECAF3411(1): under sover./juris. of Spain",FAO,34.1.1,,,ok
834SPN,"VIIIc),IX,X;CECAF3411(1): under sover./juris. of Spain",FAO,27.1,,,ok
2A3AX4,4; United Kingdom waters of 2a; the part of 3a not covered by the Skagerrak and the Kattegat,FAO,27.4,,,ok
2A3AX4,4; United Kingdom waters of 2a; the part of 3a not covered by the Skagerrak and the Kattegat,FAO,27.2.a,GBR,,ok
2A3AX4,4; United Kingdom waters of 2a; the part of 3a not covered by the Skagerrak and the Kattegat,FAO,27.3.a,,,ok
*06B-C,6b,FAO,27.6.b,,,ok
467-C.,"IV, VI, VII (1)",FAO,27.4,,,ok
467-C.,"IV, VI, VII (1)",FAO,27.6,,,ok
467-C.,"IV, VI, VII (1)",FAO,27.7,,,ok
467-C.,"IV, VI, VII (1)",FAO,27.1,,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.a,,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.c.22,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.b.23,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.24,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.25,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.26,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.27,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.28,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.29,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.30,EU,,ok
3A/BCD,IIIa; Union waters of Subdivisions 22-32,FAO,27.3.d.31,EU,,ok
